Name,Location,Country,Total_Amount, year,Type 
SOUTH AND EAST CORK AREA DEV LTD.,"Cork,",Ireland," € 3,464,093.68 ",2013,Farm Subsidary
CO. SLIGO LEADER PARTNERSHIP COMPANY LTD,"Sligo,",Ireland," € 3,394,164.04 ",2013,Farm Subsidary
INISHOWEN DEVELOPMENT PARTNERSHIP,"Donegal,",Ireland," € 3,393,117.14 ",2013,Farm Subsidary
ROSCOMMON INTEGRATED DEVELOPMENT COMPANY,"Roscommon,",Ireland," € 3,330,341.25 ",2013,Farm Subsidary
SOUTH KERRY DEVELOPMENT LTD.,"Kerry,",Ireland," € 3,252,079.53 ",2013,Farm Subsidary
LOUTH LEADER PARTNERSHIP,"Louth,",Ireland," € 3,177,939.82 ",2013,Farm Subsidary
CO WICKLOW COMMUNITY PARTNERSHIP,"Wicklow,",Ireland," € 2,703,275.52 ",2013,Farm Subsidary
WESTMEATH COMMUNITY DEVELOPMENT LTD,"Westmeath,",Ireland," € 2,556,021.35 ",2013,Farm Subsidary
GLANBIA FOODS SOCIETY LTD,"Waterford,",Ireland," € 2,324,880.15 ",2013,Farm Subsidary
LONGFORD COMMUNITY RESOURCES LTD,"Longford,",Ireland," € 2,286,846.57 ",2013,Farm Subsidary
FORUM CONNEMARA LTD.,"Galway,",Ireland," € 2,162,562.19 ",2013,Farm Subsidary
COMHAR NA NOILEßIN TEORANTA,"Galway,",Ireland," € 2,158,988.73 ",2013,Farm Subsidary
MAYO NORTH EAST LEADER PARTNERSHIP CO.,"Mayo,",Ireland," € 1,998,972.59 ",2013,Farm Subsidary
ASHBOURNE MEAT PROCESSORS,"Kildare,",Ireland," € 1,784,851.12 ",2013,Farm Subsidary
KEPAK FARM,"Meath,",Ireland," € 1,413,963.86 ",2013,Farm Subsidary
AN BORD BIA,"DUBLIN, Dublin,",Ireland," € 1,337,958.01 ",2013,Farm Subsidary
O'SHEA FARMS LTD,"PILTOWN, Kilkenny,",Ireland," € 1,316,159.44 ",2013,Farm Subsidary
LOUIS A MCAULEY (1976) LTD,"Meath,",Ireland," € 1,046,901.77 ",2013,Farm Subsidary
FINGAL LEADER PARTNERSHIP CO.,"Dublin,",IE," € 1,005,724.39 ",2013,Farm Subsidary
QUALITY GREEN PRODUCER ORG L,"Wexford,",IE," € 810,236.04 ",2013,Farm Subsidary
KILDARE CHILLING CO,"Kildare,",IE," € 790,404.80 ",2013,Farm Subsidary
ML&SILE MURPHY LAKELODGE LTD,"Cork,",IE," € 762,199.95 ",2013,Farm Subsidary
IRISH AGRICULTURAL DEVELOP,"Louth,",IE," € 742,557.78 ",2013,Farm Subsidary
KILDARE EXPORTS LTD,"Kildare,",IE," € 681,013.07 ",2013,Farm Subsidary
TEAGASC GRANGE,"Meath,",IE," € 657,641.93 ",2013,Farm Subsidary
P G MC CLEAN LTD,"Donegal,",IE," € 637,715.52 ",2013,Farm Subsidary
ST EAST CATTLE BREED SOC LTD,"Tipperary,",IE," € 607,708.00 ",2013,Farm Subsidary
G M STAFFORD LTD,"Wexford,",IE," € 598,890.83 ",2013,Farm Subsidary
TATEETRA LIVESTOCK LTD,"Louth,",IE," € 592,278.54 ",2013,Farm Subsidary
GEORGE WILSON LTD,"Donegal,",IE," € 559,549.64 ",2013,Farm Subsidary
TOWN OF MONAGHAN CO OP,"Monaghan,",IE," € 557,745.27 ",2013,Farm Subsidary
HAROLD J WILSON LTD,"LIFFORD, Donegal,",EIRE," € 534,607.37 ",2013,Farm Subsidary
TEAGASC,"Carlow,",EIRE," € 525,476.33 ",2013,Farm Subsidary
Q K MEATS LIMITED,"Kildare,",EIRE," € 512,625.63 ",2013,Farm Subsidary
NATIONAL DAIRY COUNCIL,"SANDYFORD INDUSTRIAL ESTATE DUBLIN 18, Dublin,",EIRE," € 509,148.09 ",2013,Farm Subsidary
KERRY INGREDIENTS IRELAND,"Kerry,",EIRE," € 508,179.89 ",2013,Farm Subsidary
NIGEL MARTIN LTD,"SMITHBORO, Monaghan,",EIRE," € 507,898.35 ",2013,Farm Subsidary
IRISH CEMENT LTD,"Louth,",EIRE," € 503,752.42 ",2013,Farm Subsidary
GURTEEN AGRICULTURAL COLLEGE,"Tipperary,",EIRE," € 496,879.80 ",2013,Farm Subsidary
LIMERICK INST OF TECHNOLOGY,"MOYLISH PK LIMERICK, Limerick,",EIRE," € 479,231.60 ",2013,Farm Subsidary
BARNE ESTATE LTD,"Tipperary,",EIRE," € 471,284.00 ",2013,Farm Subsidary
IRISH FILMS LTD,"Wexford,",EIRE," € 463,533.79 ",2013,Farm Subsidary
GLANMORE FOODS LTD,"BLANCHARDSTOWN DUBLIN 15, Dublin,",EIRE," € 444,220.06 ",2013,Farm Subsidary
A P DILLON & CO,"Dublin,",EIRE," € 442,111.52 ",2013,Farm Subsidary
CORRIB FARMING LTD,"Galway,",EIRE," € 441,647.92 ",2013,Farm Subsidary
COOLRAVEN FARM LTD,"TULLAMORE, Offaly,",EIRE," € 435,600.34 ",2013,Farm Subsidary
C A S LTD,"Meath,",EIRE," € 435,447.27 ",2013,Farm Subsidary
ST COLUMBANS,"Meath,",EIRE," € 430,679.23 ",2013,Farm Subsidary
FRANCEYS FARM LTD,"Monaghan,",EIRE," € 428,785.46 ",2013,Farm Subsidary
RIVERSTICK AGRI SERV LTD,"Cork,",IE," € 426,245.96 ",2013,Farm Subsidary
CLONDRISSE PIG FARM LTD,"Westmeath,",IE," € 416,139.06 ",2013,Farm Subsidary
LIME TREE FARMS LTD,"Tipperary,",IE," € 415,766.02 ",2013,Farm Subsidary
RICHARD MAHER FARMS LTD,"CAHIR, Tipperary,",IE," € 413,589.84 ",2013,Farm Subsidary
CISTERCIAN FATHERS,"Louth,",IE," € 407,606.20 ",2013,Farm Subsidary
CURRAGHMORE ESTATES,"Waterford,",IE," € 394,161.39 ",2013,Farm Subsidary
CARRADALE TRADING LTD,"Tipperary,",IE," € 388,559.98 ",2013,Farm Subsidary
PROGRESSIVE GENETICS,"Meath,",IE," € 386,517.35 ",2013,Farm Subsidary
SALESIAN AGRI COLLEGE FARM,"Limerick,",IE," € 375,496.84 ",2013,Farm Subsidary
ARTHUR SHORTEN LTD,"BANDON, Cork,",IE," € 374,740.21 ",2013,Farm Subsidary
BROWNSTOWN ESTATE,"Meath,",IE," € 364,115.70 ",2013,Farm Subsidary
PEAMOUNT HOSPITAL,"Dublin,",IE," € 360,839.37 ",2013,Farm Subsidary
ORIEL EQUITIES LTD,"Louth,",IE," € 359,875.26 ",2013,Farm Subsidary
HOTEL EUROPE LTD,"Kerry,",IE," € 354,142.26 ",2013,Farm Subsidary
T&J CARPENTER LTD,"KELLS, Meath,",IE," € 352,819.01 ",2013,Farm Subsidary
EASTMORE FARMING LTD,"Waterford,",IE," € 348,397.35 ",2013,Farm Subsidary
CLONEE MEATS,"Meath,",IE," € 347,872.67 ",2013,Farm Subsidary
BENVULT LIMITED,"Limerick,",IE," € 338,086.94 ",2013,Farm Subsidary
KINSELLAS ALLENWOOD LTD,"Wexford,",REP OF IRELAND," € 334,848.59 ",2013,Farm Subsidary
TEAGASC,"Wexford,",REP OF IRELAND," € 329,125.05 ",2013,Farm Subsidary
CEMENT LTD,"Limerick,",REP OF IRELAND," € 328,376.04 ",2013,Farm Subsidary
Q K MEATS LTD,"Kildare,",REP OF IRELAND," € 328,096.06 ",2013,Farm Subsidary
BROOKDALE LTD RAYMOND BURKE,"Donegal,",REP OF IRELAND," € 313,928.63 ",2013,Farm Subsidary
MULLINACROSS ENTERPRISES LTD,"Donegal,",REP OF IRELAND," € 309,386.14 ",2013,Farm Subsidary
CROWLEY FARMS LIMITED,"Cork,",REP OF IRELAND," € 305,127.34 ",2013,Farm Subsidary
CLONA DAIRY PRODUCTS LTD,"Cork,",REP OF IRELAND," € 303,886.05 ",2013,Farm Subsidary
DOYLE LTD,"Waterford,",REP OF IRELAND," € 302,610.39 ",2013,Farm Subsidary
MT MELLERAY ABBEY,"Waterford,",REP OF IRELAND," € 297,979.36 ",2013,Farm Subsidary
FRANCISCAN BROTHERS,"Galway,",REP OF IRELAND," € 296,438.09 ",2013,Farm Subsidary
GILLSTOWN DAIRY FARM LTD,"Meath,",REP OF IRELAND," € 292,693.22 ",2013,Farm Subsidary
MAX FARMS LTD,"Longford,",REP OF IRELAND," € 280,724.64 ",2013,Farm Subsidary
CLONGOWES COLLEGE,"Kildare,",REP OF IRELAND," € 276,516.53 ",2013,Farm Subsidary
AGRI & HORT COLLEGE,"Kilkenny,",REP OF IRELAND," € 274,087.83 ",2013,Farm Subsidary
RICH MILK LTD,"LEAMYBRIEN, Waterford,",REP OF IRELAND," € 265,364.75 ",2013,Farm Subsidary
TERENCE COUGHLAN LTD,"Cork,",REP OF IRELAND," € 251,778.15 ",2013,Farm Subsidary
J DEHAENE & SONS LTD,"Dublin,",REP OF IRELAND," € 250,461.92 ",2013,Farm Subsidary
UNIVERSITY OF LIMERICK,"Limerick,",REP OF IRELAND," € 249,184.76 ",2013,Farm Subsidary
MACQUARIE LIMITED,"Tipperary,",REP OF IRELAND," € 246,277.20 ",2013,Farm Subsidary
WESTMOUNT FARMING LTD,"Galway,",REP OF IRELAND," € 245,981.99 ",2013,Farm Subsidary
THOMAS LYNCH LTD,"Waterford,",REP OF IRELAND," € 245,160.45 ",2013,Farm Subsidary
BRANGANSTOWN FARMS LIMITED,"CASTLEBELLINGHAM, Louth,",REP OF IRELAND," € 242,294.16 ",2013,Farm Subsidary
LIMESTONE LAND CO,"Meath,",REP OF IRELAND," € 240,761.34 ",2013,Farm Subsidary
JAMESPRYAN LTD T/A JAMESRYAN,"Tipperary,",IE," € 239,265.58 ",2013,Farm Subsidary
SEALE & COMPANY LTD,"Kilkenny,",IE," € 238,219.11 ",2013,Farm Subsidary
JOHN FULTON LTD,"Wicklow,",IE," € 236,236.78 ",2013,Farm Subsidary
FITZPATRICKS PIG FARM LTD,"FINEA, Cavan,",IE," € 229,958.26 ",2013,Farm Subsidary
RICHARD & EDEL JACKSON LTD,"Wicklow,",IE," € 228,985.95 ",2013,Farm Subsidary
OBS AGRI LTD,"Longford,",IE," € 227,941.88 ",2013,Farm Subsidary
HILLTOWN FARMS LTD,"Wexford,",IE," € 223,317.14 ",2013,Farm Subsidary
BALLYHENEBRY DAIRIES LTD,"Kilkenny,",IE," € 218,865.98 ",2013,Farm Subsidary
TEAGASC,"Galway,",IE," € 216,745.66 ",2013,Farm Subsidary
CASHELFEAN DEVELOPEMENT LTD,"Cork,",IE," € 210,030.01 ",2013,Farm Subsidary
JACK LYNCH LTD,"Tipperary,",IE," € 209,291.49 ",2013,Farm Subsidary
ATHLEAGUE MEATS,"Meath,",IE," € 208,801.11 ",2013,Farm Subsidary
BRENCAP LTD,"Carlow,",IE," € 203,347.95 ",2013,Farm Subsidary
COOLIA LTD,"Kildare,",IE," € 203,143.49 ",2013,Farm Subsidary
TEAGASC,"BALLYHAISE, Cavan,",IE," € 200,706.98 ",2013,Farm Subsidary
SPRINGFIELD FARM &AGRI LTD,"Cork,",IE," € 198,437.94 ",2013,Farm Subsidary
LAMBAY ESTATE CO,"Dublin,",IE," € 197,671.01 ",2013,Farm Subsidary
SKIDOO FARMING&AGRI CO LTD,"NEW ASHBOURNE TOWN CENTRE, Meath,",IE," € 196,960.87 ",2013,Farm Subsidary
SHEPLANDS FARM LTD,"Kildare,",IE," € 196,791.25 ",2013,Farm Subsidary
AGRIFARM ENTERPRISES LTD,"Louth,",IE," € 196,129.95 ",2013,Farm Subsidary
LUSRA TEORANTA,"Wicklow,",IE," € 193,893.89 ",2013,Farm Subsidary
CARLOS CLARKE LTD,"Dublin,",IE," € 193,645.18 ",2013,Farm Subsidary
ROSCAT TILLAGE CO LTD,"TULLOW, Carlow,",IE," € 191,964.67 ",2013,Farm Subsidary
DEERPARK FARMING LIMITED,"Waterford,",IE," € 191,033.55 ",2013,Farm Subsidary
WHITEHORN FARM LIMITED,"Laois,",IE," € 189,725.25 ",2013,Farm Subsidary
HILLVIEW FARMS LTD,"Mayo,",IE," € 187,119.69 ",2013,Farm Subsidary
IRISH FOREST ENTERPRISE LTD,"Wicklow,",IE," € 183,087.70 ",2013,Farm Subsidary
TEAGASC,"Cork,",IE," € 180,971.60 ",2013,Farm Subsidary
LIAM & PETER KENNEDY LTD.,"Tipperary,",IE," € 172,969.69 ",2013,Farm Subsidary
BALLINACOR ESTATE CO LTD,"Wicklow,",IE," € 171,501.23 ",2013,Farm Subsidary
MARTIN MCGUIRE LTD,"Limerick,",IE," € 171,482.23 ",2013,Farm Subsidary
DOON FARM ENTERPRISES LTD,"KILWORTH, Tipperary,",IE," € 170,400.00 ",2013,Farm Subsidary
D & D FARMS LTD,"Kilkenny,",IE," € 168,996.56 ",2013,Farm Subsidary
LISMANY PROPERTIES,"Meath,",IE," € 167,879.87 ",2013,Farm Subsidary
GREENHALL FARM LTD,"Cork,",IE," € 167,137.70 ",2013,Farm Subsidary
BON SAVEOUR CONVENT,"Waterford,",IE," € 164,702.86 ",2013,Farm Subsidary
BRIAN PHELAN FARMS LTD,"Tipperary,",IE," € 163,597.02 ",2013,Farm Subsidary
JAMES & MICHAEL LANIGAN LTD,"Tipperary,",IE," € 163,112.92 ",2013,Farm Subsidary
AGRICULTURAL SCHOOL,"Galway,",IE," € 158,582.32 ",2013,Farm Subsidary
RAWDON ESTATES LTD,"Longford,",IE," € 158,422.89 ",2013,Farm Subsidary
ROUGHTY VALLEY COOP,"Kerry,",IE," € 153,997.60 ",2013,Farm Subsidary
LIFFEY MEATS LTD,"Cavan,",IE," € 153,687.09 ",2013,Farm Subsidary
J HAYES CO SEC SANLINO HOLD,"Kildare,",IE," € 153,529.74 ",2013,Farm Subsidary
DANIEL LEAHY LTD,"Waterford,",IE," € 153,523.54 ",2013,Farm Subsidary
FRANCISCAN MONASTERY,"Offaly,",IE," € 152,116.42 ",2013,Farm Subsidary
JAMES FOGARTY LIMITED,"Tipperary,",IE," € 152,038.90 ",2013,Farm Subsidary
BALLYHENEBRY FARMS LTD,"Kilkenny,",IE," € 152,007.71 ",2013,Farm Subsidary
FARMTRACK LTD,"Tipperary,",IE," € 148,871.28 ",2013,Farm Subsidary
ST PATRICKS MISSIONARY SOC,"KILTEGAN, Wicklow,",IE," € 145,500.52 ",2013,Farm Subsidary
LISTOWEL L'STOCK MARKET LTD,"Kerry,",IE," € 144,526.67 ",2013,Farm Subsidary
SHINAGH EST DAIRY FARM LTD,"Cork,",IE," € 143,240.67 ",2013,Farm Subsidary
HIGHFIELD FARMS LTD,"Meath,",IE," € 142,521.11 ",2013,Farm Subsidary
G C MURPHY FARMS LTD,"Waterford,",IE," € 141,227.22 ",2013,Farm Subsidary
DERMOT TOBIN FARM LIMITED,"CARRIACK-ON-SUIR, Kilkenny,",IE," € 140,759.02 ",2013,Farm Subsidary
SLEEDAGH FARMS LTD,"Wexford,",IE," € 136,931.90 ",2013,Farm Subsidary
ATHBOY ESTABLISHMENT,"Meath,",IE," € 136,284.99 ",2013,Farm Subsidary
GLENCARA ESTATE COMPANY,"Dublin,",IE," € 136,062.84 ",2013,Farm Subsidary
SUPERIOR CISTERCIAN MONASTRY,"Kildare,",IE," € 135,088.79 ",2013,Farm Subsidary
JOHN FRANCIS MCLOONE & COLTD,"Donegal,",IE," € 133,212.92 ",2013,Farm Subsidary
N & C DRAPER CO LTD,"Cork,",IE," € 132,701.98 ",2013,Farm Subsidary
G M VANCE LTD,"Donegal,",IE," € 132,254.52 ",2013,Farm Subsidary
ARDENVILLE FARMS LTD,"Cork,",IE," € 131,792.07 ",2013,Farm Subsidary
WEXFORD CREAMERY LTD,"Wexford,",IE," € 131,514.48 ",2013,Farm Subsidary
CUAN MHUIRE TEO,"Tipperary,",IE," € 129,580.25 ",2013,Farm Subsidary
CORK CO OP LIVESTOCK MART,"Tipperary,",IE," € 129,226.07 ",2013,Farm Subsidary
RENNY FARMS LIMITED,"Cork,",IE," € 127,311.09 ",2013,Farm Subsidary
PARISH PROPERTIES LTD,"DUNGARVAN, Waterford,",IE," € 127,139.86 ",2013,Farm Subsidary
FH FARMING LTD,"Mayo,",IE," € 127,057.01 ",2013,Farm Subsidary
FBF FARMING LTD,"Westmeath,",IE," € 126,413.33 ",2013,Farm Subsidary
VG LAND HOLDINGS LTD,"LEENANE, Galway,",IE," € 126,234.54 ",2013,Farm Subsidary
K ROBINSON LIVESTOCK LTD,"Northern Ireland,",IE," € 125,904.46 ",2013,Farm Subsidary
NOLAN LIVESTOCK & DAIRY LTD,"Wexford,",IE," € 125,702.30 ",2013,Farm Subsidary
JACK PORTER LTD,"Donegal,",IE," € 125,668.41 ",2013,Farm Subsidary
DOLLANSTOWN STUD LTD,"Kildare,",IE," € 124,100.94 ",2013,Farm Subsidary
LOUGH GARA FARMS LTD,"Roscommon,",IE," € 122,714.29 ",2013,Farm Subsidary
BALLYMACOLL STUD FARM LTD,"Meath,",IE," € 121,731.68 ",2013,Farm Subsidary
BALLYCULLEN AGRI LIMITED,"ASHFORD, Wicklow,",IE," € 120,305.68 ",2013,Farm Subsidary
ALLEN NURSERY LTD,"Meath,",IE," € 120,237.33 ",2013,Farm Subsidary
ARDBOY DAIRY LTD,"Kilkenny,",IE," € 120,169.25 ",2013,Farm Subsidary
HERMITAGE PEDIGREE PIG LTD,"KILKENNY, Kilkenny,",IE," € 120,000.00 ",2013,Farm Subsidary
ROSDERRA FARMS LTD,"EDENDERRY, Offaly,",IE," € 120,000.00 ",2013,Farm Subsidary
BALLYFARM LTD,"Kildare,",IE," € 117,780.41 ",2013,Farm Subsidary
MAURICE COSTELLO FARM LTD,"ARDFERT, Kerry,",IE," € 117,492.75 ",2013,Farm Subsidary
SEAN KENNEDY FARM LTD,"Kilkenny,",IE," € 116,518.75 ",2013,Farm Subsidary
TALLON FARM LTD,"ARDCATH GARRISTOWN, Meath,",IE," € 116,429.17 ",2013,Farm Subsidary
GERALDINE WHOOLEY COMPANY,"BANTRY, Cork,",IE," € 115,344.97 ",2013,Farm Subsidary
O&M GROWERS LTD,"NAVAN, Meath,",IE," € 115,265.10 ",2013,Farm Subsidary
MILLPOND LTD,"Wexford,",IE," € 114,066.60 ",2013,Farm Subsidary
MOUNT KENNEDY DEMESNE LTD,"Wicklow,",IE," € 113,469.15 ",2013,Farm Subsidary
MOOREPARK LTD,"Dublin,",IE," € 113,261.75 ",2013,Farm Subsidary
AIDAN & KATHLEEN TREACY LTD,"Galway,",IE," € 113,111.26 ",2013,Farm Subsidary
WILLIAM MOLONEY LTD,"FERMOY, Cork,",IE," € 110,978.03 ",2013,Farm Subsidary
DEFIGO HOLDINGS 1 LTD,"Tipperary,",IE," € 109,978.23 ",2013,Farm Subsidary
KILLINGLEY FARM LTD,"Cork,",IE," € 108,322.17 ",2013,Farm Subsidary
LISMONTON LTD,"Carlow,",IE," € 105,968.61 ",2013,Farm Subsidary
DECLAN & MARY FRENCH LTD,"Waterford,",IE," € 104,408.85 ",2013,Farm Subsidary
SOUTH WESTERN CATTLE BREEDER,"Cork,",IE," € 102,196.72 ",2013,Farm Subsidary
SHEEHY FARM LIMITED,"Tipperary,",IE," € 101,935.12 ",2013,Farm Subsidary
DONEGAL PRIME FARMS LTD,"Donegal,",IE," € 101,810.76 ",2013,Farm Subsidary
DJW AGRICULTURE LTD,"Waterford,",IE," € 101,637.24 ",2013,Farm Subsidary
KILLINKERE FARMS,"BAILIEBOROUGH, Cavan,",IE," € 101,441.70 ",2013,Farm Subsidary
JOE O CONNOR FARM LTD,"DROMCOLLOGHER, Limerick,",IE," € 101,382.71 ",2013,Farm Subsidary
M J HANLON FARM LIMITED,"Louth,",IE," € 101,315.49 ",2013,Farm Subsidary
MOONDIGUA FARMS LTD,"Kilkenny,",IE," € 99,827.19 ",2013,Farm Subsidary
BALLYNAGEERAGH FARM LTD,"DUNHILL, Waterford,",IE," € 99,769.54 ",2013,Farm Subsidary
BRITLAN FARMS LIMITED,"Donegal,",IE," € 99,596.58 ",2013,Farm Subsidary
FEATHERBED FARM LIMITED,"Dublin,",IE," € 99,532.31 ",2013,Farm Subsidary
IRISH NATIONAL STUD,"Kildare,",IE," € 99,530.76 ",2013,Farm Subsidary
CORK CO-OPERATIVE MARTS LTD,"Cork,",IE," € 99,118.01 ",2013,Farm Subsidary
BALLYBRACK FARM LIMITED,"Cork,",IE," € 98,649.31 ",2013,Farm Subsidary
SEAMUS GLEESON LTD,"Offaly,",IE," € 98,487.67 ",2013,Farm Subsidary
TEAGASC ORGANIC HERD,"ATHENRY, Galway,",IE," € 98,422.16 ",2013,Farm Subsidary
JOHN & MARY BYRNE LTD,"Waterford,",IE," € 97,602.82 ",2013,Farm Subsidary
HAGAN & HARMON PROPERTY LTD,"Meath,",IE," € 97,559.20 ",2013,Farm Subsidary
BALLYNEGALL FEEDS LTD,"CASTLEPOLLARD, Westmeath,",IE," € 96,425.79 ",2013,Farm Subsidary
J P & M DOYLE LTD,"Wicklow,",IE," € 96,375.75 ",2013,Farm Subsidary
PIG PRODUCERS CO-OP,"Tipperary,",IE," € 96,270.42 ",2013,Farm Subsidary
R & C GREENE LTD,"CASTLEDERMOT, Kildare,",IE," € 95,163.94 ",2013,Farm Subsidary
GRAHAM VALLEY LTD,"Donegal,",IE," € 95,079.33 ",2013,Farm Subsidary
BALLYMACSIMON FARMS LTD,"CASTLELYONS, Cork,",IE," € 94,966.81 ",2013,Farm Subsidary
PHILIP DEEGAN FARM LIMITED,"Westmeath,",IE," € 94,477.98 ",2013,Farm Subsidary
BELCAMP COLLEGE,"Meath,",IE," € 94,218.85 ",2013,Farm Subsidary
BARNHILL DEVELOPMENT LIMITED,"Donegal,",IE," € 93,658.28 ",2013,Farm Subsidary
KILLISKEA FARMS LTD,"Offaly,",IE," € 92,262.41 ",2013,Farm Subsidary
HAEPENNY WELL LTD,"CLONMEL, Tipperary,",IE," € 91,150.17 ",2013,Farm Subsidary
K C FARM ENTERPRISES,"CAHIR, Tipperary,",IE," € 88,574.45 ",2013,Farm Subsidary
FOXVIEW FARM LTD,"BALLYHOOLEY, Cork,",IE," € 88,176.89 ",2013,Farm Subsidary
NICHOLAS GALVIN LTD,"KILMACTHOMAS, Waterford,",IE," € 87,230.92 ",2013,Farm Subsidary
JOHN VAUGHAN LTD,"Waterford,",IE," € 87,228.25 ",2013,Farm Subsidary
KLIP-ON LTD,"Louth,",IE," € 87,129.31 ",2013,Farm Subsidary
NOLAN AGRI LIMITED,"TAGHMON, Wexford,",IE," € 86,906.01 ",2013,Farm Subsidary
WILLIAM SNOW & SONS LTD,"SWORDS, Dublin,",IE," € 86,542.60 ",2013,Farm Subsidary
P A MORONEY LTD,"MULLINAHONE, Tipperary,",IE," € 86,177.46 ",2013,Farm Subsidary
KELTIC AGRI LTD,"Monaghan,",IE," € 85,736.58 ",2013,Farm Subsidary
J & M BRENNAN FARMS LTD,"GOWRAN, Kilkenny,",IE," € 85,182.51 ",2013,Farm Subsidary
THREE TREES FARM LTD,"Donegal,",IE," € 84,694.15 ",2013,Farm Subsidary
BROTHERS OF CHARITY,"Waterford,",IE," € 84,650.52 ",2013,Farm Subsidary
P & Y STRATFORD LTD,"VIRGINIA, Cavan,",IE," € 83,674.84 ",2013,Farm Subsidary
BECKMANCOULTERBIOMEDICAL LTD,"Clare,",IE," € 83,136.76 ",2013,Farm Subsidary
DONEGAL CREAMERIES PLC,"Donegal,",IE," € 82,760.13 ",2013,Farm Subsidary
DERRYLANGAN FARM LIMITED,"ATHBOY, Meath,",IE," € 82,604.57 ",2013,Farm Subsidary
RATHBAUN FARM LTD,"Galway,",IE," € 81,591.27 ",2013,Farm Subsidary
DAVID O'GORMAN FARM LTD,"Tipperary,",IE," € 81,207.13 ",2013,Farm Subsidary
ROSS CARROLL LTD,"Tipperary,",IE," € 80,912.30 ",2013,Farm Subsidary
GREENFIELDS IRELAND LTD,"Northern Ireland,",IE," € 80,588.00 ",2013,Farm Subsidary
GRIFFINSTOWN GRAIN CO LTD,"GRANGECON, Wicklow,",IE," € 80,382.80 ",2013,Farm Subsidary
RAHEENLEIGH FARM LTD,"CULLOHILL, Laois,",IE," € 80,209.23 ",2013,Farm Subsidary
GRASS LEAF LTD,"Cork,",IE," € 79,290.92 ",2013,Farm Subsidary
NORTHORPE LTD,"Donegal,",IE," € 78,844.27 ",2013,Farm Subsidary
SKEAGH FARMS,"BAILIEBOROUGH, Cavan,",IE," € 78,650.85 ",2013,Farm Subsidary
DAN CLEARY FARM LTD,"BIRR, Offaly,",IE," € 77,594.41 ",2013,Farm Subsidary
KYLETELOGUE FARM LTD,"Laois,",IE," € 76,457.44 ",2013,Farm Subsidary
DAVID LOWRY LTD,"Donegal,",IE," € 76,315.49 ",2013,Farm Subsidary
KNOCKSKEAGH FARMS LTD,"Waterford,",IE," € 76,086.79 ",2013,Farm Subsidary
SEAN MAHER LTD,"Tipperary,",IE," € 75,817.50 ",2013,Farm Subsidary
